Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
04/04/2020,Enugu,2,0,0
04/04/2020,Ekiti,2,1,0
04/04/2020,Benue,1,0,0
04/04/2020,Rivers,1,0,0
04/04/2020,Ondo,1,0,0
05/04/2020,Lagos,120,30,2
05/04/2020,FCT,47,0,2
05/04/2020,Osun,20,0,0
05/04/2020,Oyo,9,0,0
05/04/2020,Edo,9,0,1
05/04/2020,Bauchi,6,0,0
05/04/2020,Akwa Ibom,5,0,0
05/04/2020,Kaduna,5,0,0
05/04/2020,Ogun,4,2,0
05/04/2020,Enugu,2,0,0
05/04/2020,Ekiti,2,1,0
05/04/2020,Benue,1,0,0
05/04/2020,Rivers,1,0,0
05/04/2020,Ondo,1,0,0
06/04/2020,Lagos,120,31,2
06/04/2020,FCT,48,0,2
06/04/2020,Osun,20,1,0
06/04/2020,Edo,11,0,1
06/04/2020,Oyo,9,0,0
06/04/2020,Bauchi,6,0,0
06/04/2020,Akwa Ibom,5,0,0
06/04/2020,Kaduna,5,0,0
06/04/2020,Ogun,4,2,0
06/04/2020,Ekiti,2,1,0
06/04/2020,Enugu,2,0,0
06/04/2020,Rivers,2,0,0
06/04/2020,Kwara,2,0,0
06/04/2020,Benue,1,0,0
06/04/2020,Ondo,1,0,0
07/04/2020,Lagos,130,32,2
07/04/2020,FCT,50,7,2
07/04/2020,Osun,20,1,0
07/04/2020,Edo,11,0,1
07/04/2020,Oyo,11,0,0
07/04/2020,Bauchi,6,0,0
07/04/2020,Akwa Ibom,5,0,0
07/04/2020,Kaduna,5,0,0
07/04/2020,Ogun,4,2,0
07/04/2020,Ekiti,2,1,0
07/04/2020,Enugu,2,0,0
07/04/2020,Rivers,2,1,0
07/04/2020,Kwara,2,0,0
07/04/2020,Benue,1,0,0
07/04/2020,Ondo,1,0,0
07/04/2020,Delta,1,0,0
07/04/2020,Katsina,1,0,1
08/04/2020,Lagos,145,32,2
08/04/2020,FCT,54,7,2
08/04/2020,Osun,20,1,0
08/04/2020,Edo,12,0,1
08/04/2020,Oyo,11,0,0
08/04/2020,Bauchi,8,0,0
08/04/2020,Akwa Ibom,5,0,0
08/04/2020,Kaduna,5,0,0
08/04/2020,Ogun,4,2,0
08/04/2020,Ekiti,2,1,0
08/04/2020,Enugu,2,0,0
08/04/2020,Rivers,2,1,0
08/04/2020,Kwara,2,0,0
08/04/2020,Benue,1,0,0
08/04/2020,Ondo,1,0,0
08/04/2020,Delta,1,0,0
08/04/2020,Katsina,1,0,1
09/04/2020,Lagos,158,39,2
09/04/2020,FCT,54,7,2
09/04/2020,Osun,20,1,0
09/04/2020,Edo,12,0,1
09/04/2020,Oyo,11,0,0
09/04/2020,Bauchi,6,0,0
09/04/2020,Akwa Ibom,5,0,0
09/04/2020,Kaduna,5,0,0
09/04/2020,Ogun,4,2,0
09/04/2020,Ekiti,2,1,0
09/04/2020,Enugu,2,0,0
09/04/2020,Rivers,2,1,0
09/04/2020,Kwara,2,0,0
09/04/2020,Delta,2,0,1
09/04/2020,Benue,1,0,0
09/04/2020,Ondo,1,0,0
09/04/2020,Katsina,1,0,1
10/04/2020,Lagos,163,46,2
10/04/2020,FCT,56,7,2
10/04/2020,Osun,20,1,0
10/04/2020,Edo,12,0,1
10/04/2020,Oyo,11,0,0
10/04/2020,Bauchi,6,0,0
10/04/2020,Kaduna,6,0,0
10/04/2020,Akwa Ibom,5,0,0
10/04/2020,Ogun,7,2,0
10/04/2020,Katsina,4,0,1
10/04/2020,Ekiti,2,1,0
10/04/2020,Enugu,2,0,0
10/04/2020,Rivers,2,1,0
10/04/2020,Kwara,2,0,0
10/04/2020,Delta,2,0,1
10/04/2020,Ondo,2,0,0
10/04/2020,Benue,1,0,0
10/04/2020,Anambra,1,0,0
10/04/2020,Niger,1,0,0
11/04/2020,Lagos,174,50,5
11/04/2020,FCT,56,11,2
11/04/2020,Osun,20,1,0
11/04/2020,Edo,12,0,1
