Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
30/04/2020,Edo,44,10,3
30/04/2020,Katsina,40,0,2
30/04/2020,Bauchi,38,6,0
30/04/2020,Sokoto,36,1,4
30/04/2020,Kaduna,35,6,1
30/04/2020,Osun,34,18,3
30/04/2020,Oyo,23,9,2
30/04/2020,Akwa Ibom,16,10,2
30/04/2020,Rivers,13,2,2
30/04/2020,Kwara,11,2,0
30/04/2020,Delta,9,4,2
30/04/2020,Ondo,9,3,0
30/04/2020,Ekiti,8,2,1
30/04/2020,Taraba,8,0,0
30/04/2020,Jigawa,7,0,1
30/04/2020,Bayelsa,5,0,0
30/04/2020,Zamfara,4,0,1
30/04/2020,Enugu,3,2,0
30/04/2020,Nasarawa,3,0,0
30/04/2020,Abia,2,0,0
30/04/2020,Adamawa,2,0,0
30/04/2020,Ebonyi,2,0,0
30/04/2020,Kebbi,2,0,0
30/04/2020,Niger,2,0,0
30/04/2020,Anambra,1,1,0
30/04/2020,Benue,1,0,0
30/04/2020,Imo,1,0,0
30/04/2020,Plateau,1,0,0
30/04/2020,Yobe,1,0,0
01/05/2020,Lagos,1006,225,28
01/05/2020,Kano,311,0,3
01/05/2020,FCT,214,36,3
01/05/2020,Gombe,92,0,0
01/05/2020,Borno,69,0,6
01/05/2020,Ogun,56,8,1
01/05/2020,Bauchi,48,6,0
01/05/2020,Edo,47,10,3
01/05/2020,Sokoto,41,1,7
01/05/2020,Katsina,49,6,2
01/05/2020,Kaduna,35,6,1
01/05/2020,Osun,34,18,3
01/05/2020,Oyo,29,9,2
01/05/2020,Delta,17,4,2
01/05/2020,Akwa Ibom,16,10,2
01/05/2020,Kwara,14,2,0
01/05/2020,Rivers,14,2,2
01/05/2020,Ondo,13,3,0
01/05/2020,Ekiti,11,2,1
01/05/2020,Zamfara,9,0,1
01/05/2020,Taraba,8,0,0
01/05/2020,Jigawa,7,0,1
01/05/2020,Nasarawa,7,0,0
01/05/2020,Bayelsa,5,0,0
01/05/2020,Adamawa,4,0,0
01/05/2020,Enugu,4,2,0
01/05/2020,Yobe,4,0,0
01/05/2020,Ebonyi,3,0,0
01/05/2020,Niger,3,0,0
01/05/2020,Abia,2,0,0
01/05/2020,Imo,2,0,0
01/05/2020,Kebbi,2,0,0
01/05/2020,Anambra,1,1,0
01/05/2020,Benue,1,0,0
01/05/2020,Plateau,1,0,0
02/05/2020,Lagos,1068,247,30
02/05/2020,Kano,313,7,6
02/05/2020,FCT,266,36,3
02/05/2020,Gombe,96,0,0
02/05/2020,Borno,75,0,11
02/05/2020,Kaduna,66,6,1
02/05/2020,Ogun,56,9,2
02/05/2020,Sokoto,54,1,8
02/05/2020,Bauchi,53,6,0
02/05/2020,Edo,52,10,3
02/05/2020,Katsina,38,6,6
02/05/2020,Osun,36,22,3
02/05/2020,Oyo,33,9,2
02/05/2020,Delta,17,4,2
02/05/2020,Akwa Ibom,16,10,2
02/05/2020,Kwara,16,2,0
02/05/2020,Rivers,14,2,2
02/05/2020,Ondo,13,3,0
02/05/2020,Yobe,13,0,1
02/05/2020,Kebbi,12,0,0
02/05/2020,Zamfara,12,0,1
02/05/2020,Ekiti,11,2,1
02/05/2020,Nasarawa,9,0,0
02/05/2020,Enugu,8,2,0
02/05/2020,Taraba,8,0,0
02/05/2020,Jigawa,7,0,1
02/05/2020,Bayelsa,5,0,0
02/05/2020,Ebonyi,5,0,0
02/05/2020,Adamawa,4,0,0
02/05/2020,Niger,3,0,0
02/05/2020,Plateau,3,0,0
02/05/2020,Abia,2,0,0
02/05/2020,Imo,2,0,0
02/05/2020,Anambra,1,1,0
02/05/2020,Benue,1,0,0
03/05/2020,Lagos,1107,247,30
03/05/2020,Kano,342,7,6
03/05/2020,FCT,278,40,3
03/05/2020,Gombe,96,0,0
03/05/2020,Borno,82,0,12
03/05/2020,Kaduna,81,8,1
03/05/2020,Ogun,80,10,2
03/05/2020,Bauchi,71,6,0
03/05/2020,Sokoto,66,1,8
03/05/2020,Edo,52,10,3
03/05/2020,Katsina,46,6,7
03/05/2020,Osun,36,22,3
03/05/2020,Oyo,34,9,2
03/05/2020,Delta,17,4,2
03/05/2020,Akwa Ibom,16,10,2
03/05/2020,Kwara,16,8,0
03/05/2020,Rivers,14,2,2
03/05/2020,Ondo,13,3,0
03/05/2020,Yobe,13,0,1
03/05/2020,Kebbi,12,0,0
03/05/2020,Nasarawa,12,0,0
03/05/2020,Zamfara,12,0,1
03/05/2020,Ekiti,11,2,1
03/05/2020,Enugu,8,2,0
03/05/2020,Taraba,8,0,0
03/05/2020,Jigawa,7,0,1
03/05/2020,Adamawa,6,0,0
03/05/2020,Bayelsa,5,0,0
03/05/2020,Ebonyi,5,0,0
03/05/2020,Niger,3,1,0
03/05/2020,Plateau,3,0,0
03/05/2020,Abia,2,1,0
03/05/2020,Imo,2,0,0
03/05/2020,Anambra,1,1,0
03/05/2020,Benue,1,0,0
04/05/2020,Lagos,1183,261,30
04/05/2020,Kano,365,0,8
04/05/2020,FCT,297,40,3
04/05/2020,Borno,100,0,14
04/05/2020,Gombe,96,0,0
04/05/2020,Ogun,85,12,2
04/05/2020,Katsina,83,6,7
04/05/2020,Kaduna,81,10,1
04/05/2020,Bauchi,80,6,0
04/05/2020,Sokoto,66,1,8
04/05/2020,Edo,62,10,4
04/05/2020,Jigawa,39,0,1
04/05/2020,Oyo,39,9,2
04/05/2020,Osun,37,30,4
04/05/2020,Delta,17,2,2
04/05/2020,Akwa Ibom,16,10,2
04/05/2020,Kwara,16,8,0
04/05/2020,Rivers,14,2,2
04/05/2020,Ondo,13,3,0
04/05/2020,Yobe,13,0,1
04/05/2020,Zamfara,13,0,1
04/05/2020,Adamawa,12,0,0
04/05/2020,Ekiti,12,2,1
04/05/2020,Kebbi,12,0,0
04/05/2020,Nasarawa,11,0,0
04/05/2020,Enugu,8,2,0
04/05/2020,Taraba,8,0,0
04/05/2020,Bayelsa,5,0,0
04/05/2020,Ebonyi,5,0,0
04/05/2020,Niger,4,1,0
04/05/2020,Plateau,3,0,0
04/05/2020,Abia,2,1,0
04/05/2020,Benue,2,0,0
04/05/2020,Imo,2,0,0
04/05/2020,Anambra,1,1,0
05/05/2020,Lagos,1226,321,30
05/05/2020,Kano,397,3,11
05/05/2020,FCT,307,40,3
05/05/2020,Borno,106,0,14
05/05/2020,Gombe,98,0,0
05/05/2020,Katsina,92,6,8
05/05/2020,Ogun,91,12,2
05/05/2020,Kaduna,84,10,1
05/05/2020,Bauchi,83,6,0
05/05/2020,Sokoto,76,1,8
05/05/2020,Edo,65,10,4
05/05/2020,Oyo,44,9,2
05/05/2020,Jigawa,39,0,1
05/05/2020,Osun,37,30,4
05/05/2020,Zamfara,27,0,1
05/05/2020,Delta,17,2,2
05/05/2020,Akwa Ibom,16,10,2
05/05/2020,Kwara,16,8,0
05/05/2020,Taraba,15,0,0
05/05/2020,Adamawa,14,0,0
05/05/2020,Rivers,14,2,2
05/05/2020,Kebbi,13,0,0
05/05/2020,Ondo,13,3,0
05/05/2020,Yobe,13,0,1
05/05/2020,Ekiti,12,2,1
05/05/2020,Nasarawa,11,0,1
05/05/2020,Enugu,8,2,0
05/05/2020,Bayelsa,5,0,0
05/05/2020,Ebonyi,5,0,0
05/05/2020,Niger,4,1,0
05/05/2020,Plateau,4,0,0
05/05/2020,Abia,2,1,0
05/05/2020,Benue,2,0,0
05/05/2020,Imo,2,1,0
05/05/2020,Anambra,1,1,0
06/05/2020,Lagos,1308,358,30
06/05/2020,Kano,427,6,13
06/05/2020,FCT,316,40,4
06/05/2020,Borno,116,0,14
06/05/2020,Gombe,103,0,0
06/05/2020,Katsina,95,8,8
06/05/2020,Ogun,95,18,2
06/05/2020,Kaduna,85,10,1
06/05/2020,Sokoto,85,1,8
06/05/2020,Bauchi,83,6,0
06/05/2020,Edo,65,10,4
06/05/2020,Oyo,52,11,2
06/05/2020,Zamfara,46,0,2
06/05/2020,Jigawa,39,0,1
06/05/2020,Osun,37,30,4
06/05/2020,Kebbi,18,0,0
06/05/2020,Delta,17,2,3
06/05/2020,Akwa Ibom,16,10,2
06/05/2020,Kwara,16,8,0
06/05/2020,Adamawa,15,0,0
06/05/2020,Taraba,15,0,0
06/05/2020,Rivers,14,2,2
06/05/2020,Ondo,13,6,0
06/05/2020,Yobe,13,0,1
06/05/2020,Ekiti,12,2,1
06/05/2020,Nasarawa,11,0,1
06/05/2020,Enugu,8,2,0
06/05/2020,Bayelsa,5,0,0
06/05/2020,Ebonyi,5,0,0
06/05/2020,Niger,4,1,0
06/05/2020,Plateau,4,0,0
06/05/2020,Abia,2,1,0
06/05/2020,Benue,2,0,0
06/05/2020,Imo,2,1,0
06/05/2020,Anambra,1,1,0
07/05/2020,Lagos,1491,406,33
07/05/2020,Kano,482,19,13
07/05/2020,FCT,316,40,4
07/05/2020,Borno,125,0,14
07/05/2020,Gombe,109,0,0
07/05/2020,Katsina,106,9,8
07/05/2020,Bauchi,102,6,0
07/05/2020,Ogun,100,18,2
07/05/2020,Kaduna,92,14,1
07/05/2020,Sokoto,89,1,8
07/05/2020,Jigawa,83,0,1
07/05/2020,Edo,65,10,4
07/05/2020,Zamfara,65,0,3
07/05/2020,Oyo,55,11,2
07/05/2020,Osun,37,30,4
07/05/2020,Kwara,24,8,0
07/05/2020,Kebbi,18,0,0
07/05/2020,Akwa Ibom,17,10,2
07/05/2020,Delta,17,2,3
07/05/2020,Rivers,17,2,2
07/05/2020,Adamawa,15,0,0
07/05/2020,Taraba,15,0,0
07/05/2020,Ondo,13,6,0
07/05/2020,Yobe,13,0,1
07/05/2020,Ekiti,12,2,1
07/05/2020,Nasarawa,11,0,1
07/05/2020,Enugu,9,2,0
07/05/2020,Niger,6,1,0
07/05/2020,Bayelsa,5,0,0
07/05/2020,Ebonyi,5,0,0
07/05/2020,Plateau,5,1,0
07/05/2020,Abia,2,1,0
07/05/2020,Benue,2,0,0
07/05/2020,Imo,2,1,0
07/05/2020,Anambra,1,1,0
08/05/2020,Lagos,1667,448,33
08/05/2020,Kano,547,20,18
08/05/2020,FCT,336,40,4
08/05/2020,Borno,142,0,14
08/05/2020,Katsina,137,9,8
08/05/2020,Bauchi,117,6,1
08/05/2020,Ogun,113,28,4
08/05/2020,Gombe,110,10,0
08/05/2020,Kaduna,95,14,2
08/05/2020,Sokoto,93,4,9
08/05/2020,Jigawa,83,0,1
08/05/2020,Edo,67,12,4
08/05/2020,Zamfara,65,0,3
08/05/2020,Oyo,59,14,2
08/05/2020,Osun,38,30,4
08/05/2020,Nasarawa,25,0,1
08/05/2020,Kwara,24,9,0
08/05/2020,Rivers,21,4,2
08/05/2020,Kebbi,18,0,0
08/05/2020,Akwa Ibom,17,10,2
08/05/2020,Delta,17,3,3
08/05/2020,Adamawa,15,0,0
08/05/2020,Ondo,15,6,0
08/05/2020,Plateau,15,1,0
08/05/2020,Taraba,15,0,0
08/05/2020,Yobe,13,0,1
08/05/2020,Ekiti,12,4,1
08/05/2020,Enugu,10,2,0
08/05/2020,Ebonyi,7,0,0
08/05/2020,Niger,6,2,0
08/05/2020,Bayelsa,5,0,0
08/05/2020,Imo,3,1,0
08/05/2020,Abia,2,1,0
08/05/2020,Benue,2,0,0
08/05/2020,Anambra,1,1,0
09/05/2020,Lagos,1764,448,33
09/05/2020,Kano,576,30,18
09/05/2020,FCT,343,85,8
09/05/2020,Bauchi,161,6,1
09/05/2020,Borno,159,0,15
09/05/2020,Katsina,156,9,9
09/05/2020,Ogun,115,28,4
09/05/2020,Gombe,110,15,0
09/05/2020,Kaduna,98,14,3
09/05/2020,Sokoto,96,10,9
09/05/2020,Jigawa,83,0,1
09/05/2020,Edo,67,12,4
09/05/2020,Zamfara,65,0,3
09/05/2020,Oyo,64,14,2
09/05/2020,Osun,38,30,4
09/05/2020,Kwara,30,9,1
09/05/2020,Nasarawa,25,0,2
09/05/2020,Rivers,21,4,2
09/05/2020,Kebbi,20,0,2
09/05/2020,Delta,17,3,3
09/05/2020,Akwa Ibom,17,10,2
09/05/2020,Plateau,17,1,0
09/05/2020,Adamawa,17,0,0
09/05/2020,Taraba,15,0,0
09/05/2020,Ondo,15,6,0
09/05/2020,Yobe,13,0,1
09/05/2020,Ekiti,13,4,1
09/05/2020,Enugu,10,2,0
09/05/2020,Ebonyi,7,0,0
09/05/2020,Niger,6,2,0
09/05/2020,Bayelsa,5,0,0
09/05/2020,Imo,3,1,0
09/05/2020,Benue,2,0,0
09/05/2020,Abia,2,1,0
09/05/2020,Anambra,1,1,0
10/05/2020,Lagos,1845,469,33
10/05/2020,Kano,602,48,26
10/05/2020,FCT,356,53,6
10/05/2020,Borno,185,12,16
10/05/2020,Bauchi,181,6,1
10/05/2020,Katsina,156,16,10
10/05/2020,Jigawa,118,0,2
10/05/2020,Ogun,117,33,5
10/05/2020,Gombe,112,10,1
10/05/2020,Sokoto,106,13,12
10/05/2020,Kaduna,98,14,3
10/05/2020,Edo,79,13,4
10/05/2020,Zamfara,72,0,3
10/05/2020,Oyo,64,15,2
10/05/2020,Osun,39,30,4
10/05/2020,Kwara,34,9,1
10/05/2020,Nasarawa,25,0,2
10/05/2020,Kebbi,24,1,3
10/05/2020,Rivers,21,4,2
10/05/2020,Plateau,19,1,0
10/05/2020,Akwa Ibom,17,10,2
10/05/2020,Delta,17,3,3
10/05/2020,Adamawa,17,0,0
10/05/2020,Ekiti,15,4,1
10/05/2020,Ondo,15,6,0
10/05/2020,Taraba,15,1,0
10/05/2020,Yobe,13,0,1
10/05/2020,Enugu,10,2,0
10/05/2020,Ebonyi,7,0,0
10/05/2020,Niger,6,2,0
10/05/2020,Bayelsa,6,0,0
10/05/2020,Imo,3,1,0
10/05/2020,Benue,2,0,0
10/05/2020,Abia,2,1,0
10/05/2020,Anambra,1,1,0
11/05/2020,Lagos,1933,502,33
11/05/2020,Kano,666,61,32
11/05/2020,FCT,359,53,4
11/05/2020,Katsina,205,16,10
11/05/2020,Borno,186,12,16
11/05/2020,Bauchi,182,7,1
11/05/2020,Ogun,126,39,5
11/05/2020,Jigawa,118,4,2
11/05/2020,Gombe,118,53,1
11/05/2020,Kaduna,111,17,3
11/05/2020,Sokoto,106,19,12
11/05/2020,Edo,79,13,4
11/05/2020,Zamfara,73,1,5
11/05/2020,Oyo,65,15,2
11/05/2020,Osun,39,30,4
11/05/2020,Kwara,34,9,1
11/05/2020,Nasarawa,25,0,1
11/05/2020,Kebbi,24,1,3
11/05/2020,Rivers,22,4,3
11/05/2020,Adamawa,21,4,0
11/05/2020,Plateau,19,1,0
11/05/2020,Akwa Ibom,17,10,2
11/05/2020,Delta,17,3,3
11/05/2020,Ondo,16,11,1
11/05/2020,Taraba,15,1,0
11/05/2020,Ekiti,15,9,1
11/05/2020,Yobe,13,0,1
11/05/2020,Enugu,10,2,0
11/05/2020,Ebonyi,7,0,0
11/05/2020,Niger,6,2,0
11/05/2020,Bayelsa,6,0,0
11/05/2020,Imo,3,1,0
11/05/2020,Benue,2,0,0
11/05/2020,Abia,2,1,0
11/05/2020,Anambra,1,1,0
12/05/2020,Lagos,1990,502,33
12/05/2020,Kano,693,74,33
12/05/2020,FCT,360,65,7
12/05/2020,Katsina,208,18,11
12/05/2020,Bauchi,190,23,3
12/05/2020,Borno,188,12,16
12/05/2020,Ogun,127,46,5
12/05/2020,Gombe,119,53,1
12/05/2020,Jigawa,118,4,2
12/05/2020,Kaduna,111,17,3
12/05/2020,Sokoto,108,22,13
12/05/2020,Edo,88,13,4
12/05/2020,Zamfara,73,1,5
12/05/2020,Oyo,69,16,2
12/05/2020,Kwara,44,9,1
12/05/2020,Osun,39,30,4
12/05/2020,Kebbi,28,1,3
12/05/2020,Nasarawa,25,0,1
12/05/2020,Rivers,23,4,3
12/05/2020,Plateau,21,1,0
12/05/2020,Adamawa,21,4,0
12/05/2020,Yobe,20,0,1
12/05/2020,Delta,17,3,3
12/05/2020,Akwa Ibom,17,10,2
12/05/2020,Ondo,16,11,1
12/05/2020,Ekiti,15,9,1
12/05/2020,Taraba,15,1,0
12/05/2020,Enugu,11,2,0
12/05/2020,Niger,9,2,0
12/05/2020,Ebonyi,8,0,0
12/05/2020,Bayelsa,6,3,0
12/05/2020,Benue,4,0,0
12/05/2020,Imo,3,1,0
12/05/2020,Abia,2,1,0
12/05/2020,Anambra,1,1,0
13/05/2020,Lagos,2041,528,33
13/05/2020,Kano,707,79,33
13/05/2020,FCT,370,72,7
13/05/2020,Katsina,224,25,12
13/05/2020,Bauchi,206,25,3
13/05/2020,Borno,188,20,20
13/05/2020,Jigawa,141,4,3
13/05/2020,Ogun,127,46,5
13/05/2020,Gombe,119,65,1
13/05/2020,Kaduna,116,17,3
13/05/2020,Sokoto,112,40,13
13/05/2020,Edo,89,26,4
13/05/2020,Oyo,73,16,2
13/05/2020,Zamfara,73,1,5
13/05/2020,Kwara,53,9,1
13/05/2020,Osun,42,30,4
13/05/2020,Rivers,33,5,3
13/05/2020,Kebbi,31,5,3
13/05/2020,Nasarawa,28,0,1
13/05/2020,Delta,22,6,3
13/05/2020,Adamawa,21,4,0
13/05/2020,Plateau,20,4,0
13/05/2020,Yobe,20,0,1
13/05/2020,Ondo,18,11,1
13/05/2020,Akwa Ibom,17,12,2
13/05/2020,Taraba,17,1,0
13/05/2020,Ekiti,15,9,1
13/05/2020,Enugu,12,2,0
13/05/2020,Niger,10,2,0
13/05/2020,Ebonyi,9,0,0
13/05/2020,Bayelsa,6,3,0
13/05/2020,Benue,4,0,0
13/05/2020,Imo,3,1,0
13/05/2020,Abia,2,1,0
13/05/2020,Anambra,2,1,0
14/05/2020,Lagos,2099,541,33
14/05/2020,Kano,753,87,33
14/05/2020,FCT,379,82,7
14/05/2020,Katsina,224,29,12
14/05/2020,Bauchi,207,25,3
14/05/2020,Borno,191,20,20
14/05/2020,Jigawa,176,4,3
14/05/2020,Ogun,134,57,5
14/05/2020,Gombe,124,87,1
14/05/2020,Kaduna,114,17,3
14/05/2020,Sokoto,112,40,13
14/05/2020,Edo,92,27,5
14/05/2020,Oyo,73,16,2
14/05/2020,Zamfara,73,18,5
14/05/2020,Kwara,56,12,1
14/05/2020,Osun,42,30,4
14/05/2020,Rivers,33,5,3
14/05/2020,Yobe,32,3,1
14/05/2020,Kebbi,31,11,4
14/05/2020,Nasarawa,29,5,1
14/05/2020,Plateau,25,4,0
14/05/2020,Delta,22,9,4
14/05/2020,Adamawa,21,7,0
14/05/2020,Ondo,19,11,1
14/05/2020,Taraba,17,1,0
14/05/2020,Akwa Ibom,17,12,2
14/05/2020,Ekiti,15,9,1
14/05/2020,Enugu,12,2,0
14/05/2020,Niger,10,2,0
14/05/2020,Ebonyi,9,0,0
14/05/2020,Imo,7,2,0
14/05/2020,Bayelsa,6,3,0
14/05/2020,Benue,4,0,0
14/05/2020,Anambra,2,1,0
14/05/2020,Abia,2,1,0
15/05/2020,Lagos,2278,541,36
15/05/2020,Kano,761,90,33
15/05/2020,FCT,386,88,7
15/05/2020,Katsina,239,29,12
15/05/2020,Bauchi,210,41,3
15/05/2020,Borno,204,44,20
15/05/2020,Jigawa,191,4,3
15/05/2020,Ogun,145,59,5
15/05/2020,Kaduna,130,53,3
15/05/2020,Gombe,124,90,2
15/05/2020,Sokoto,112,53,13
15/05/2020,Edo,93,27,5
15/05/2020,Oyo,76,28,2
15/05/2020,Zamfara,73,29,5
15/05/2020,Kwara,58,12,1
15/05/2020,Osun,42,30,4
15/05/2020,Rivers,33,10,3
15/05/2020,Yobe,32,3,1
15/05/2020,Kebbi,31,11,4
15/05/2020,Nasarawa,29,5,1
15/05/2020,Delta,25,9,4
15/05/2020,Plateau,21,4,0
15/05/2020,Adamawa,21,11,0
15/05/2020,Ekiti,19,13,1
15/05/2020,Ondo,19,11,1
15/05/2020,Taraba,17,1,0
15/05/2020,Akwa Ibom,17,12,2
15/05/2020,Niger,14,2,0
15/05/2020,Enugu,12,2,0
15/05/2020,Ebonyi,9,1,0
15/05/2020,Imo,7,2,0
15/05/2020,Bayelsa,6,3,0
15/05/2020,Benue,4,0,0
15/05/2020,Anambra,2,1,0
15/05/2020,Abia,2,1,0
,,,,
